"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"MATTBRYANT","K","yahoo","Matt Bryant","ATL",3,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,9.1,7,7.4,4.4,142.47
"CHRISIVORY","RB","yahoo","Chris Ivory","NYJ",28,80,0,0,0,217,948,4.7,22.1,29.2,160,0.8,0,0.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.69
"JOIQUEBELL","RB","yahoo","Joique Bell","DET",29,81,0,0,0,197,752,6.6,30,38.9,232,1,0,0.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.73
"ANDREJOHNSON","WR","yahoo","Andre Johnson","IND",16,82,0,0,0,0,0,0,71.7,115,904,8.4,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.38
"MASONCROSBY","K","yahoo","Mason Crosby","GB",4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,7.6,7.5,6.5,4,139.35
"HOUSTONTEXANS","DST","yahoo","Houston Texans","HOU",3,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,0.5,15.8,12.5,0.5,3.3,NA,NA,NA,NA,NA,139.35
"DEANDREHOPKINS","WR","yahoo","DeAndre Hopkins","HOU",17,85,0,0,0,0,0,0,80.4,133,1143,4.4,0,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.85
"DAVANTEADAMS","WR","yahoo","Davante Adams","GB",18,86,0,0,0,0,0,0,66.8,106,972,7,0,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.63
"BRIANHOYER","QB","yahoo","Brian Hoyer","HOU",32,87,2440,11.6,10.1,23,34.6,0.6,0,0,0,0,0,0.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.91
"DUSTINHOPKINS","K","yahoo","Dustin Hopkins","NO",5,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,8.2,8.4,7,1.8,137.13
"JUSTINTUCKER","K","yahoo","Justin Tucker","BAL",6,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,8.2,8.9,7,4,137.05
"RANDYBULLOCK","K","yahoo","Randy Bullock","HOU",7,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,7.1,9.5,9.2,3.7,136.31
"JORDANMATTHEWS","WR","yahoo","Jordan Matthews","PHI",19,91,0,0,0,0,0,0,76.5,125,943,7,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.19
"GREGZUERLEIN","K","yahoo","Greg Zuerlein","STL",8,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,6.8,9.8,6.5,5.4,136.14
"BLAIRWALSH","K","yahoo","Blair Walsh","MIN",9,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,6.7,8.8,6.1,5.1,136.02
"DANBAILEY","K","yahoo","Dan Bailey","DAL",10,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,3.9,8.2,7.1,4,135.66
"GARRETTHARTLEY","K","yahoo","Garrett Hartley","PIT",11,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,10.5,8.5,8.4,1.6,135.62
"ISAIAHCROWELL","RB","yahoo","Isaiah Crowell","CLE",30,96,0,0,0,224,965,5.5,10.6,13.5,84.2,0.3,0,0.1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.42
"CHANDLERCATANZARO","K","yahoo","Chandler Catanzaro","ARZ",12,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,7.3,9.4,9.6,2.2,135.36
"JOSHBROWN","K","yahoo","Josh Brown","NYG",13,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,8.4,10.3,6.3,2.1,135.26
"AMEERABDULLAH","RB","yahoo","Ameer Abdullah","DET",31,99,0,0,0,137,614,3.4,53.3,66.6,437,2,0,0.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.74
"DEVONTAFREEMAN","RB","yahoo","Devonta Freeman","ATL",32,100,0,0,0,150,593,4.7,41.6,50.3,397,1.4,0,0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.54
"STEVENHAUSCHKA","K","yahoo","Steven Hauschka","SEA",14,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,8.4,8.5,7.7,2,134.42
"CODYPARKEY","K","yahoo","Cody Parkey","PHI",15,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,8.6,9.5,6.8,1.9,134.32
"AMARICOOPER","WR","yahoo","Amari Cooper","OAK",20,103,0,0,0,3.7,24.4,0.1,77.5,125,1038,4.7,0,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.07
"MATTPRATER","K","yahoo","Matt Prater","DET",16,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,4.3,7.6,11.1,2.8,134.06
"NICKNOVAK","K","yahoo","Nick Novak","SD",17,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,7.5,10.5,6.2,2.6,132.65
"JEREMYMACLIN","WR","yahoo","Jeremy Maclin","KC",21,106,0,0,0,0,0,0,79.8,119,1029,4.9,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.28
"ADAMVINATIERI","K","yahoo","Adam Vinatieri","IND",18,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,6.3,6.6,8,2.9,132.06
"JARVISLANDRY","WR","yahoo","Jarvis Landry","MIA",22,108,0,0,0,4,26.6,0.1,87.7,131,925,5.1,1,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.72
"CALEBSTURGIS","K","yahoo","Caleb Sturgis","MIA",19,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,6.4,8.7,7.8,3.4,131.62
