"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"RICKYSTANZI","QB","fp","Ricky Stanzi","NYG",78,616,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"CHANDLERHARNISH","QB","fp","Chandler Harnish","ARI",79,617,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"SEANRENFREE","QB","fp","Sean Renfree","ATL",80,618,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"LANDRYJONES","QB","fp","Landry Jones","PIT",81,619,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"MATTBARKLEY","QB","fp","Matt Barkley","PHI",82,620,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"MATTSI","QB","fp","Matt Si","mms",83,621,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"LOGANTHOMAS","QB","fp","Logan Thomas","ARI",84,622,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"PIERRETHO","RB","fp","Pierre Tho","mas",188,623,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0
"TRENTRICHARD","RB","fp","Trent Richard","son",189,624,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0
"TYLERGAFFNEY","RB","fp","Tyler Gaffney","NE",190,625,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,0
"RICHIEBROCKEL","TE","fp","Richie Brockel","CAR",115,626,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.3,0,NA,NA,0.1,NA,NA,-0.1
