"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"COREYKNOX","RB","BUF","averageRobust","Corey Knox",240,2015,207,726,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COREYKNOX","RB","BUF","averageWeighted","Corey Knox",240,2015,207,726,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANFRANCISCO49ERS","DST","SF","yahoo","San Francisco 49ers",882,2015,27,726,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5897,39.7,0.5,13.9,8,12,0.1,3.4,NA,NA,NA,NA,NA,NA,NA,0
"DEMITRIUSBRONSON","RB","MIA","average","Demitrius Bronson",297,2015,208,727,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEMITRIUSBRONSON","RB","MIA","averageRobust","Demitrius Bronson",297,2015,208,727,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEMITRIUSBRONSON","RB","MIA","averageWeighted","Demitrius Bronson",297,2015,208,727,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEATTLESEAHAWKS","DST","SEA","yahoo","Seattle Seahawks",890,2015,28,727,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4620,39.1,0.9,13.6,10.8,21,0.5,6.3,NA,NA,NA,NA,NA,NA,NA,0
"DESMONDMARTIN","RB","DET","average","Desmond Martin",313,2015,209,728,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DESMONDMARTIN","RB","DET","averageRobust","Desmond Martin",313,2015,209,728,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DESMONDMARTIN","RB","DET","averageWeighted","Desmond Martin",313,2015,209,728,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEBASTIANJANIKOWSKI","K","OAK","yahoo","Sebastian Janikowski",891,2015,48,728,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,27.5,6.6,7.5,8.6,5.1,29.3,0
"DOMINIQUEBROWN","RB","TB","average","Dominique Brown",330,2015,210,729,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOMINIQUEBROWN","RB","TB","averageRobust","Dominique Brown",330,2015,210,729,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOMINIQUEBROWN","RB","TB","averageWeighted","Dominique Brown",330,2015,210,729,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHAUNSUISHAM","K","PIT","yahoo","Shaun Suisham",901,2015,49,729,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0
"GLENNWINSTON","RB","CLE","average","Glenn Winston",401,2015,211,730,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLENNWINSTON","RB","CLE","averageRobust","Glenn Winston",401,2015,211,730,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLENNWINSTON","RB","CLE","averageWeighted","Glenn Winston",401,2015,211,730,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHAYNEGRAHAM","K","FA","yahoo","Shayne Graham",902,2015,50,730,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0
"JAWONCHISHOLM","RB","PIT","average","Jawon Chisholm",472,2015,212,731,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAWONCHISHOLM","RB","PIT","averageRobust","Jawon Chisholm",472,2015,212,731,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAWONCHISHOLM","RB","PIT","averageWeighted","Jawon Chisholm",472,2015,212,731,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STEPHENGOSTKOWSKI","K","NE","yahoo","Stephen Gostkowski",909,2015,51,731,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,32.7,7.4,9.2,9,1.9,43.3,0
"KENNETHHARPER","RB","NYG","average","Kenneth Harper",604,2015,213,732,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
