"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"TYLERKROFT","TE","cbs","Tyler Kroft","CIN",65,373,NA,NA,NA,NA,NA,NA,NA,NA,17.6,165,1.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4
"AUSTINJOHNSON","RB","cbs","Austin Johnson","NO",87,374,NA,NA,NA,NA,NA,20.1,61,0.2,7.6,61,1.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"BRANDONMYERS","TE","cbs","Brandon Myers","TB",66,375,NA,NA,NA,NA,NA,NA,NA,NA,17.7,196,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"ANTHONYSHERMAN","RB","cbs","Anthony Sherman","KC",88,376,NA,NA,NA,NA,NA,2.7,9.5,0,16.6,125,1.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8
"JOHNKUHN","RB","cbs","John Kuhn","GB",89,377,NA,NA,NA,NA,NA,27.6,101,1.6,10.3,61,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2
"PATRICKDIMARCO","RB","cbs","Patrick DiMarco","ATL",90,378,NA,NA,NA,NA,NA,0,0,0,17.1,127,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"ZACHLINE","RB","cbs","Zach Line","MIN",91,379,NA,NA,NA,NA,NA,17.7,88,0.7,12.1,97,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8
"KYLEJUSZCZYK","RB","cbs","Kyle Juszczyk","BAL",92,380,NA,NA,NA,NA,NA,0,0,0,24.6,217,1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8
"TOMMYBOHANON","RB","cbs","Tommy Bohanon","NYJ",93,381,NA,NA,NA,NA,NA,16.7,67,0.2,15.6,135,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4
"FREDJACKSON","RB","cbs","Fred Jackson","BUF",94,382,NA,NA,NA,NA,NA,20.1,88,0.8,6.3,55,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2
"JALSTONFOWLER","RB","cbs","Jalston Fowler","TEN",95,383,NA,NA,NA,NA,NA,17.8,75,0.4,9.3,82,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"DRIARCHER","RB","cbs","Dri Archer","PIT",96,384,NA,NA,NA,NA,NA,16.3,72,0.6,6.3,48.7,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8
"MATTASIATA","RB","cbs","Matt Asiata","MIN",97,385,NA,NA,NA,NA,NA,11.9,55,0.9,5.1,39.7,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6
"JAYPROSCH","RB","cbs","Jay Prosch","HOU",98,386,NA,NA,NA,NA,NA,12.3,52,0.3,6.4,77,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
"RONNIEHILLMAN","RB","cbs","Ronnie Hillman","DEN",99,387,NA,NA,NA,NA,NA,18.5,85,0.4,2.9,20.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
"ANTONESMITH","RB","cbs","Antone Smith","ATL",100,388,NA,NA,NA,NA,NA,4.6,43.1,0.4,2,33.9,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
"WILLJOHNSON","RB","cbs","Will Johnson","PIT",101,389,NA,NA,NA,NA,NA,2.8,4.8,0,11.5,84,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
"JOHNPHILLIPS","TE","cbs","John Phillips","SD",67,390,NA,NA,NA,NA,NA,NA,NA,NA,6.8,69,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
"TRENTRICHARDSON","RB","cbs","Trent Richardson","OAK",102,391,NA,NA,NA,NA,NA,19.9,80,0.4,2,14,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
"ZACSTACY","RB","cbs","Zac Stacy","NYJ",103,392,NA,NA,NA,NA,NA,19.5,91,0.4,2,15.8,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"MILESAUSTIN","WR","cbs","Miles Austin","PHI",120,393,NA,NA,NA,NA,NA,NA,NA,NA,5.7,72,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"TAYLORGABRIEL","WR","cbs","Taylor Gabriel","CLE",121,394,NA,NA,NA,NA,NA,NA,NA,NA,5,83,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
