"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"TONYROMO","Tony Romo","QB","DAL",61,84.7443124622509,11,366.974162976474,345.16,350.34,344.28,316.66,NA,331.31,307.54,312.96,318.2,315.4,314.08,346.9,319.3,341.68,NA,324.2,365.057428571429,366.974162976474,-0.661782393957878,11.3478,14.9996311493111,4.49633534785083,363.690169374538,3.28399360193589
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",62,94.5774008455808,12,366.709835796637,330.49,363.74,356.5,325.72,344.24,346.54,358.4,338.62,348.88,349.8,333.18,344.9,310.36,340.22,NA,302.76,369.338666666667,366.709835796637,-0.926109573795259,11.3239,16.9875877656375,4.70439261036064,356.083193280336,10.6266425163006
"MICHAELCRABTREE","Michael Crabtree","WR","SF",63,51.4968592711898,21,161.185694881319,130.73,188,181.9,157.7,NA,175.13,176.4,167,143.8,145.7,156.5,167,120.7,174,NA,128.78,161.597895021645,161.185694881319,-2.08548887933389,7.1913,21.2405634121587,4.68891119452176,155.162966520245,6.02272836107477
"CHRISJOHNSON","Chris Johnson","RB","NYJ",64,61.7426213005838,21,208.573870863375,204.66,222.2,195.7,209,NA,209.87,258.6,228.5,204.3,202.6,196.4,237.5,189.3,167.4,NA,140.4,210.248452380952,208.573870863375,-2.11660428811118,10.4565,28.8448530937497,5.86356154725029,204.816159993594,3.75771086978176
"CJSPILLER","C.J. Spiller","RB","BUF",65,45.6977249849003,22,208.299582482682,182.1,225.1,198.5,215.3,NA,206.58,232.4,197.2,213,226,220.1,210.1,171.5,178,NA,161.7,210.055911255411,208.299582482682,-2.3908926688049,8.6239,22.0156254699966,4.93274847482199,200.727170774053,7.57241170862889
"DESEANJACKSON","DeSean Jackson","WR","WAS",66,58.6321119387961,22,157.035657245946,143.91,147.2,154.7,161.5,NA,153.13,166,145,155.3,165.1,151.3,161,126.5,169.3,NA,143.54,157.232228354978,157.035657245946,-6.23552651470712,7.3326,11.4364133123348,3.66546421683885,152.830488833448,4.20516841249844
"ZACHERTZ","Zach Ertz","TE","PHI",67,96.6787598147775,11,110.077553816494,84.74,123,131,98.6,NA,116.66,115,106.7,115.8,118.7,94.3,119.8,80.9,112.1,NA,100,110.013547619048,110.077553816494,-6.70135391269869,18.5869,14.7401773588864,5.28576020914118,106.887380541849,3.19017327464482
"RUSSELLWILSON","Russell Wilson","QB","SEA",68,96.9438896718341,13,360.67050295244,386.36,337.74,338.2,336.66,NA,333.942,349.28,337.14,341.64,350,317.06,356,307.56,329.58,NA,297.64,364.783571645022,360.67050295244,-6.96544241799228,9.8413,21.5169861716758,5.01726829018514,348.137722273794,12.5327806786451
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",69,132.659581792681,12,109.475085604773,132.64,116.5,109.2,116.1,NA,113.29,95.7,114.8,105,106.1,100.7,111,87.3,111.9,NA,102.7,111.44980952381,109.475085604773,-7.30382212441887,9.2326,10.7778279988886,3.81005853789625,102.864968576615,6.61011702815826
"JOIQUEBELL","Joique Bell","RB","DET",70,48.990648278639,23,201.332737504506,178.85,236,200.9,213.9,NA,212.41,195.4,207.8,205.6,210,197.7,183.6,174.3,171.8,NA,139.9,200.940877705628,201.332737504506,-9.35773764698098,6.4413,23.6611638497618,4.86089520088844,199.083280351728,2.24945715277804
"TORREYSMITH","Torrey Smith","WR","BAL",71,55.4553956110328,23,153.290275794543,133.11,155.3,152.5,155.4,NA,156.73,183.2,163.4,142,140.4,151.1,162.2,121.4,150.2,NA,137.7,152.958579004329,153.290275794543,-9.98090796611018,11.2304,15.0635249001548,4.48986051406279,151.856273540108,1.43400225443506
"RAYRICE","Ray Rice","RB","BAL",72,59.3765149989934,24,200.1216040436,197.62,213.7,196.7,219.3,NA,208.84,197.3,221.3,176.7,181.5,185.9,191,165.3,159.5,NA,144.6,198.78308008658,200.1216040436,-10.5688711078866,13.4478,22.8363254583473,5.56413162197872,197.290201969834,2.83140207376579
