"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"RANDALLCOBB","Randall Cobb","WR","GB",56,170.688091460474,229.52,169.2,157.3,183.6,175.8,173.36,165.6,169.1,177.7,164.5,170.3,171.5,142,181,NA,161.26,0,0,0,8.5,175.938958333333,170.688091460474,29.2915598290598,18.7306835611162,3.65419216443306,4.43494004416701
"RYANMATHEWS","Ryan Mathews","RB","SD",57,169.532067513295,154.48,179.8,169.4,166.1,NA,168.78,162,160,167.6,174,170.7,184.5,203,183.1,NA,159.3,0,0,0,255.104994741877,170.216285714286,169.532067513295,43.5690170940171,12.675134782646,6.34113961117737,4.02848683393859
"VINCENTJACKSON","Vincent Jackson","WR","TB",58,168.578171197723,282.22,169.5,161.8,172.7,NA,166.47,177.8,160.9,164.3,157.5,162.8,168,178.9,183.4,NA,160.7,0,0,0,0.75,177.014645021645,168.578171197723,31.1133547008547,31.4685932826177,5.06910351081237,6.08211707811147
"REGGIEBUSH","Reggie Bush","RB","DET",59,167.224894237872,143.78,180.6,155.5,184,NA,167.35,175.6,158.6,170.9,188,162.8,180,191.1,188.2,NA,147.4,0,0,0,188.0501879049,168.216547619048,167.224894237872,37.8713675213675,15.5034458594367,7.88748815723551,4.53235107704681
"RASHADJENNINGS","Rashad Jennings","RB","NYG",60,164.435971061072,161.88,165.9,147.3,159.8,NA,161.28,159.2,182.3,161.5,160,167,155,168.6,184.5,NA,166.4,0,0,0,208.000079203824,162.92580952381,164.435971061072,43.782905982906,9.71846650499919,7.82301917020675,3.84908497042945
"FRANKGORE","Frank Gore","RB","SF",61,163.499673116898,133.24,171.1,150.1,173.3,NA,165.18,196.2,174.8,152.4,150,152.4,158,151.9,178.5,NA,161.8,0,0,0,239.500028425664,160.468785714286,163.499673116898,44.7020299145299,15.7904536468597,5.46208997841669,4.29400561466412
"CJSPILLER","C.J. Spiller","RB","BUF",62,161.639153128075,137.54,178.3,149.3,167.7,NA,160.42,182.4,153,166.2,177,165.5,161.5,175.5,180,NA,156.8,0,0,0,206.4,163.062523809524,161.639153128075,41.4886752136752,13.0466378979245,7.19190098166368,4.1672708855562
"ANDREJOHNSON","Andre Johnson","WR","HOU",63,160.223708121786,149.94,164.4,157.9,178.7,NA,162.43,178,150,153,151,147.8,168.5,168.3,182.2,NA,150,0,0,0,0,161.886880952381,160.223708121786,41.4439102564103,12.0329059135886,6.80726522540437,4.00568761765132
"JOIQUEBELL","Joique Bell","RB","DET",64,159.663921373011,144.58,185,158.3,164.9,NA,166.41,157.2,162.2,164.8,167,155.9,144,177.3,172.8,NA,141.9,0,0,0,173.999959348654,159.118642857143,159.663921373011,54.0065170940171,12.5377756452996,6.55276335539544,4.0361577713213
"KEENANALLEN","Keenan Allen","WR","SD",65,159.598735480338,191.94,159.3,152.9,152.5,NA,155.54,160.1,160.9,152,159,162.7,168,144.5,180.6,NA,152.2,0,0,0,0,161.198424242424,159.598735480338,35.8615384615385,12.4008951289816,6.45401074930835,4.00909165952625
