"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"JUSTINBROWN","Justin Brown","WR","PIT",295,NA,120,34.4994133787089,NA,NA,41.1,NA,NA,30.83,NA,NA,16.8,34.5,NA,NA,50.5,NA,NA,NA,28.955,34.4994133787089,-88.1838586861948,NA,12.5101590717305,4.77436944694017,33.649745750218,0.849667628490877
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",296,177.8,61,66.0869192744194,75.18,64.7,52.7,49.2,NA,57.72,88.9,67.3,59.9,69,57.1,42,109.3,79.8,NA,63.7,66.6607380952381,66.0869192744194,-88.2881231620338,30.8,17.3219071736304,7.31333576544109,64.1748690473469,1.91205022707253
"MIKEBROWN","Mike Brown","WR","JAC",297,NA,121,34.0479380685165,123.52,37.1,40.9,NA,NA,29.55,41.5,NA,20.4,30.5,10.3,46,17.1,45.2,NA,NA,36.2689285714286,34.0479380685165,-88.6353339963873,NA,30.0662990134076,8.87762985895293,33.2350876875582,0.812850380958288
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",298,150.364393125671,62,65.3996217657164,NA,126.9,92.3,54.2,NA,87.42,54.8,47.3,59.3,48,70.8,43,30,97.6,NA,41.6,65.9739560439561,65.3996217657164,-88.9754206707368,14.1869999581771,27.8130347600563,6.67703450479385,61.4252138036491,3.9744079620673
"JAMESCASEY","James Casey","TE","PHI",299,NA,89,8.06547959110101,7.7,NA,NA,NA,NA,10.44,3.8,4.2,17.6,2,3,NA,NA,NA,NA,NA,6.94761904761905,8.06547959110101,-89.2165961726182,NA,5.53404527835264,3.14389648117678,7.59125,0.474229591101006
"DAVIDPAULSON","David Paulson","TE","PIT",300,NA,90,7.9025,23.36,NA,NA,NA,NA,11.01,6.6,13.6,15.9,1.5,4.1,1,NA,NA,NA,NA,8.87541666666667,7.9025,-89.3795757637192,NA,7.79951085920503,3.67338617900161,7.2400015898551,0.662498410144903
"ROBERTHERRON","Robert Herron","WR","TB",301,NA,122,33.2515534319196,NA,49.3,20,NA,NA,34.65,25.7,NA,NA,34.5,22.1,2.5,NA,NA,NA,42.1,31.53875,33.2515534319196,-89.4317186329841,NA,14.5771699560845,5.25747586789292,33.0430760117624,0.208477420157202
"DONTEMONCRIEF","Donte Moncrief","WR","IND",302,180.3,123,33.2186219431968,NA,54.2,18.6,NA,NA,29.05,16.2,5.8,42.6,34.5,25.6,18,32,64.9,NA,26.9,29.8574925074925,33.2186219431968,-89.464650121707,19.2,16.6808608118479,5.93807012369876,32.4588971730886,0.759724770108193
"TJGRAHAM","T.J. Graham","WR","BUF",303,NA,124,32.867530080328,59.76,41.9,NA,NA,NA,28.22,NA,19.6,10.6,NA,6.6,2.5,NA,53.4,NA,NA,24.2819047619048,32.867530080328,-89.8157419845757,NA,21.8056151025372,6.94692428356851,31.899349590784,0.968180489544018
"GERELLROBINSON","Gerell Robinson","TE","DEN",304,NA,91,7.28,NA,NA,NA,NA,NA,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28,7.28,-90.0020757637192,NA,NA,NA,7.14270623467865,0.13729376532135
