"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"BRANDONMARSHALL","WR","yahoo","Brandon Marshall","NYJ",19,91,0,0,0,0,0,0,78.1,127,982,6.6,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.52
"RANDYBULLOCK","K","yahoo","Randy Bullock","HOU",8,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,7.1,9.5,9.2,3.7,136.31
"GREGZUERLEIN","K","yahoo","Greg Zuerlein","STL",9,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,6.8,9.8,6.5,5.4,136.14
"BLAIRWALSH","K","yahoo","Blair Walsh","MIN",10,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,6.7,8.8,6.1,5.1,136.03
"DANBAILEY","K","yahoo","Dan Bailey","DAL",11,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,3.9,8.2,7.1,4,135.66
"CHANDLERCATANZARO","K","yahoo","Chandler Catanzaro","ARZ",12,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,7.3,9.4,9.6,2.2,135.36
"JOSHBROWN","K","yahoo","Josh Brown","NYG",13,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,8.4,10.3,6.3,2.1,135.24
"STEVENHAUSCHKA","K","yahoo","Steven Hauschka","SEA",14,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,8.4,8.5,7.7,2,134.42
"CODYPARKEY","K","yahoo","Cody Parkey","PHI",15,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,8.6,9.5,6.8,1.9,134.34
"AMARICOOPER","WR","yahoo","Amari Cooper","OAK",20,100,0,0,0,3.7,24.4,0.1,77.5,125,1038,4.7,0,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.09
"MATTPRATER","K","yahoo","Matt Prater","DET",16,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,4.3,7.6,11.1,2.8,134.06
"AMEERABDULLAH","RB","yahoo","Ameer Abdullah","DET",30,102,0,0,0,136,609,3.3,53.3,66.6,437,2,0,0.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.99
