"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"GARRETTHARTLEY","K","espn","Garrett Hartley","PIT",17,113,0,0,0,0,0,0,0,0,0,0,0,128
"DAVANTEADAMS","WR","espn","Davante Adams","GB",28,114,0,0,0,0,0,0,0,0,63,916,6,127
"PHILDAWSON","K","espn","Phil Dawson","SF",18,115,0,0,0,0,0,0,0,0,0,0,0,127
"NICKFOLK","K","espn","Nick Folk","NYJ",19,116,0,0,0,0,0,0,0,0,0,0,0,127
"SHAYNEGRAHAM","K","espn","Shayne Graham","FA",20,117,0,0,0,0,0,0,0,0,0,0,0,127
"RASHADJENNINGS","RB","espn","Rashad Jennings","NYG",33,118,0,0,0,0,0,181,726,6,18,142,1,126.3
"CHANDLERCATANZARO","K","espn","Chandler Catanzaro","ARZ",21,119,0,0,0,0,0,0,0,0,0,0,0,126
"NEWENGLANDPATRIOTS","DST","espn","New England Patriots","NE",4,120,0,0,0,0,0,0,0,0,0,0,0,126
"JOSHBROWN","K","espn","Josh Brown","NYG",22,121,0,0,0,0,0,0,0,0,0,0,0,125
"AMEERABDULLAH","RB","espn","Ameer Abdullah","DET",34,122,0,0,0,0,0,125,560,3,49,402,2,124.3
"STLOUISRAMS","DST","espn","St. Louis Rams","STL",5,123,0,0,0,0,0,0,0,0,0,0,0,124
"JOSHSCOBEE","K","espn","Josh Scobee","PIT",23,124,0,0,0,0,0,0,0,0,0,0,0,123
"ROBBIEGOULD","K","espn","Robbie Gould","CHI",24,125,0,0,0,0,0,0,0,0,0,0,0,123
"DUSTINHOPKINS","K","espn","Dustin Hopkins","NO",25,126,0,0,0,0,0,0,0,0,0,0,0,123
"JAYFEELY","K","espn","Jay Feely","FA",26,127,0,0,0,0,0,0,0,0,0,0,0,123
"NELSONAGHOLOR","WR","espn","Nelson Agholor","PHI",29,128,0,0,0,0,0,0,0,0,64,860,6,122.2
"CAIROSANTOS","K","espn","Cairo Santos","KC",27,129,0,0,0,0,0,0,0,0,0,0,0,122
"GRAHAMGANO","K","espn","Graham Gano","CAR",28,130,0,0,0,0,0,0,0,0,0,0,0,122
"RUEBENRANDLE","WR","espn","Rueben Randle","NYG",30,131,0,0,0,0,0,0,0,0,63,915,5,121.8
"MIKENUGENT","K","espn","Mike Nugent","CIN",29,132,0,0,0,0,0,0,0,0,0,0,0,120
"RANDYBULLOCK","K","espn","Randy Bullock","HOU",30,133,0,0,0,0,0,0,0,0,0,0,0,120
"SEBASTIANJANIKOWSKI","K","espn","Sebastian Janikowski","OAK",31,134,0,0,0,0,0,0,0,0,0,0,0,120
"DOUGMARTIN","RB","espn","Doug Martin","TB",35,135,0,0,0,0,0,210,822,4,20,158,0,119.2
"MICHAELFLOYD","WR","espn","Michael Floyd","ARZ",31,136,0,0,0,0,0,0,0,0,61,859,6,119.1
"LARRYFITZGERALD","WR","espn","Larry Fitzgerald","ARZ",32,137,0,0,0,0,0,0,0,0,66,830,6,119
"JOHNBROWN","WR","espn","John Brown","ARZ",33,138,0,0,0,0,0,4,25,0,62,870,5,119
"CONNORBARTH","K","espn","Connor Barth","TB",32,139,0,0,0,0,0,0,0,0,0,0,0,119
"DARRENMCFADDEN","RB","espn","Darren McFadden","DAL",36,140,0,0,0,0,0,166,649,6,17,149,1,118.4
"CHARLESJOHNSON","WR","espn","Charles Johnson","MIN",34,141,0,0,0,0,0,0,0,0,60,881,5,118
"TORREYSMITH","WR","espn","Torrey Smith","SF",35,142,0,0,0,0,0,0,0,0,57,945,4,118
"TRAVISKELCE","TE","espn","Travis Kelce","KC",3,143,0,0,0,0,0,0,0,0,77,838,6,117.3
"MIKEWALLACE","WR","espn","Mike Wallace","MIN",36,144,0,0,0,0,0,0,0,0,59,894,5,117
"MIAMIDOLPHINS","DST","espn","Miami Dolphins","MIA",6,145,0,0,0,0,0,0,0,0,0,0,0,117
