"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"DARRIUSHEYWARDBEY","WR","fp","Darrius Heyward-Bey","PIT",168,489,NA,NA,NA,NA,NA,0.1,0.3,0,4.7,54,0.3,NA,NA,0.1,NA,NA,6.9
"TIMHIGHTOWER","RB","fp","Tim Hightower","NO",148,490,NA,NA,NA,NA,NA,8.1,30.2,0.2,3.1,22.5,0.1,NA,NA,0,NA,NA,6.8
"GREGSALAS","WR","fp","Greg Salas","DET",169,491,NA,NA,NA,NA,NA,0.1,1.6,0,3.9,53.5,0.2,NA,NA,0,NA,NA,6.8
"GARRETTCELEK","TE","fp","Garrett Celek","SF",90,492,NA,NA,NA,NA,NA,NA,NA,NA,2.7,42.9,0.4,NA,NA,0,NA,NA,6.8
"BRICEBUTLER","WR","fp","Brice Butler","OAK",170,493,NA,NA,NA,NA,NA,0,0,0,4.3,53.2,0.2,NA,NA,0,NA,NA,6.7
"ZURLONTIPTON","RB","fp","Zurlon Tipton","IND",149,494,NA,NA,NA,NA,NA,7.3,23.5,0.2,2.7,26.7,0.2,NA,NA,0.1,NA,NA,6.6
"LANCEMOORE","WR","fp","Lance Moore","DET",171,495,NA,NA,NA,NA,NA,0,0,0,4.1,53,0.2,NA,NA,0,NA,NA,6.6
"AARONDOBSON","WR","fp","Aaron Dobson","NE",172,496,NA,NA,NA,NA,NA,0,0,0,4.2,52.7,0.2,NA,NA,0,NA,NA,6.5
"CHASEFORD","TE","fp","Chase Ford","MIN",91,497,NA,NA,NA,NA,NA,NA,NA,NA,3.9,48.1,0.3,NA,NA,0,NA,NA,6.4
"SHAUNHILL","QB","fp","Shaun Hill","MIN",53,498,17.7,10.6,123,0.6,0.5,0.8,1.5,0.1,NA,NA,NA,NA,NA,0.1,NA,NA,6.3
"CHADHENNE","QB","fp","Chad Henne","JAC",54,499,20.8,11.9,127.1,0.5,0.5,1.5,6.2,0,NA,NA,NA,NA,NA,0.1,NA,NA,6.3
"JUNIORHEMINGWAY","WR","fp","Junior Hemingway","KC",173,500,NA,NA,NA,NA,NA,0,0,0,5.4,61.3,0,NA,NA,0,NA,NA,6.3
"JOSHMORGAN","WR","fp","Josh Morgan","NO",174,501,NA,NA,NA,NA,NA,0,0.4,0,4.5,53.5,0.2,NA,NA,0,NA,NA,6.3
"SEANMCGRATH","TE","fp","Sean McGrath","IND",92,502,NA,NA,NA,NA,NA,NA,NA,NA,3.7,44.6,0.3,NA,NA,0,NA,NA,6.3
"CHRISOWUSU","WR","fp","Chris Owusu","NYJ",175,503,NA,NA,NA,NA,NA,0.1,0.7,0,4.8,52,0.2,NA,NA,0,NA,NA,6.2
"DARRENWALLER","WR","fp","Darren Waller","BAL",176,504,NA,NA,NA,NA,NA,0,0,0,3.6,45.9,0.3,NA,NA,0,NA,NA,6.2
"ISAIAHBURSE","WR","fp","Isaiah Burse","DEN",177,505,NA,NA,NA,NA,NA,0,0,0,4.9,57.8,0.1,NA,NA,0,NA,NA,6.2
"ROBERTHERRON","WR","fp","Robert Herron","TB",178,506,NA,NA,NA,NA,NA,0.1,0.5,0,4,54.3,0.1,NA,NA,0,NA,NA,6.1
"COREYWASHINGTON","WR","fp","Corey Washington","NYG",179,507,NA,NA,NA,NA,NA,0,0,0,4.4,52.9,0.1,NA,NA,0,NA,NA,6.1
"COLLINMOONEY","RB","fp","Collin Mooney","ATL",150,508,NA,NA,NA,NA,NA,2.9,11.2,0,4.7,36,0.2,NA,NA,0,NA,NA,6
"ADAMTHIELEN","WR","fp","Adam Thielen","MIN",180,509,NA,NA,NA,NA,NA,0,0,0,3.5,46.1,0.2,NA,NA,0,NA,NA,6
"JOSHBOYCE","WR","fp","Josh Boyce","NE",181,510,NA,NA,NA,NA,NA,0,0,0,3.9,47.4,0.2,NA,NA,0,NA,NA,6
"VINCEMAYLE","WR","fp","Vince Mayle","CLE",182,511,NA,NA,NA,NA,NA,0,0,0,3.6,47.7,0.2,NA,NA,0,NA,NA,6
"DONALDBROWN","RB","fp","Donald Brown","SD",151,512,NA,NA,NA,NA,NA,5.9,22.2,0.1,3.3,25.1,0.1,NA,NA,0,NA,NA,5.9
"KESHAWNMARTIN","WR","fp","Keshawn Martin","HOU",183,513,NA,NA,NA,NA,NA,0,0,0,4.2,48,0.2,NA,NA,0,NA,NA,5.8
"DAMARISJOHNSON","WR","fp","Damaris Johnson","HOU",184,514,NA,NA,NA,NA,NA,0.5,1.2,0,6,57,0,NA,NA,0,NA,NA,5.8
"KENNYHILLIARD","RB","fp","Kenny Hilliard","HOU",152,515,NA,NA,NA,NA,NA,8.4,32.7,0.2,1.5,12.3,0,NA,NA,0.1,NA,NA,5.7
"BRIANLEONHARDT","TE","fp","Brian Leonhardt","OAK",93,516,NA,NA,NA,NA,NA,NA,NA,NA,4.5,37.6,0.3,NA,NA,0,NA,NA,5.6
"MICHAELHOOMANAWANUI","TE","fp","Michael Hoomanawanui","NE",94,517,NA,NA,NA,NA,NA,NA,NA,NA,3.3,35.3,0.4,NA,NA,0,NA,NA,5.6
"DURONCARTER","WR","fp","Duron Carter","IND",185,518,NA,NA,NA,NA,NA,0,0,0,3.1,40.2,0.3,NA,NA,0,NA,NA,5.5
"KERWYNNWILLIAMS","RB","fp","Kerwynn Williams","ARI",153,519,NA,NA,NA,NA,NA,7,27.8,0.1,2.3,16.6,0,NA,NA,0,NA,NA,5.4
"VINCENTBROWN","WR","fp","Vincent Brown","IND",186,520,NA,NA,NA,NA,NA,0,0,0,4.3,46.3,0.1,NA,NA,0,NA,NA,5.4
"KENBRELLTHOMPKINS","WR","fp","Kenbrell Thompkins","OAK",187,521,NA,NA,NA,NA,NA,0,-0.3,0,3.4,44.6,0.2,NA,NA,0,NA,NA,5.4
"MICKEYSHULER","TE","fp","Mickey Shuler","ATL",95,522,NA,NA,NA,NA,NA,NA,NA,NA,4,35.3,0.3,NA,NA,0,NA,NA,5.2
"RAYAGNEW","RB","fp","Ray Agnew","DAL",154,523,NA,NA,NA,NA,NA,5.6,23.9,0.3,1.5,10.3,0,NA,NA,0,NA,NA,5.1
"JEROMESMITH","RB","fp","Jerome Smith","ATL",155,524,NA,NA,NA,NA,NA,6.9,27.3,0.2,1.5,11.6,0,NA,NA,0,NA,NA,5.1
"JAMIZEOLAWALE","RB","fp","Jamize Olawale","OAK",156,525,NA,NA,NA,NA,NA,2,4.6,0,3.6,29.3,0.3,NA,NA,0,NA,NA,5.1
"NEALSTERLING","WR","fp","Neal Sterling","JAC",188,526,NA,NA,NA,NA,NA,0,0,0,3.1,40.7,0.2,NA,NA,0,NA,NA,5.1
"KEITHMUMPHERY","WR","fp","Keith Mumphery","HOU",189,527,NA,NA,NA,NA,NA,0,0,0,3.1,40.8,0.2,NA,NA,0,NA,NA,5.1
"ZACHMILLER","TE","fp","Zach Miller","CHI",96,528,NA,NA,NA,NA,NA,NA,NA,NA,3.5,38.3,0.2,NA,NA,0,NA,NA,5.1
"JJWATT","TE","fp","J.J. Watt","HOU",97,529,NA,NA,NA,NA,NA,NA,NA,NA,3.4,38.3,0.2,NA,NA,0,NA,NA,5.1
"ADRIENROBINSON","TE","fp","Adrien Robinson","NYG",98,530,NA,NA,NA,NA,NA,NA,NA,NA,3.5,34.2,0.3,NA,NA,0,NA,NA,5.1
"JOHNCONNER","RB","fp","John Conner","BUF",157,531,NA,NA,NA,NA,NA,2,6,0,2.6,24.3,0.3,NA,NA,0,NA,NA,5
