"name","pos","sourceName","name_fox","team_fox","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"BRENTONBERSIN","WR","fox","Brenton Bersin","CAR",144,323,NA,NA,NA,NA,NA,0,0,0,3,34,0,NA,0,0,5.1
"PAULRICHARDSON","WR","fox","Paul Richardson","SEA",145,324,NA,NA,NA,NA,NA,0,0,0,2,31,0,NA,0,0,4.8
"JONATHANGRIMES","RB","fox","Jonathan Grimes","HOU",96,325,NA,NA,NA,NA,NA,11,36,0,0,1,0,NA,0,0,4.7
"JEREMYROSS","WR","fox","Jeremy Ross","DET",146,325,NA,NA,NA,NA,NA,0,0,0,3,30,0,NA,0,0,4.7
"AARONDOBSON","WR","fox","Aaron Dobson","NE",147,327,NA,NA,NA,NA,NA,0,0,0,2,30,0,NA,0,0,4.6
"BOBBYRAINEY","RB","fox","Bobby Rainey","TB",97,328,NA,NA,NA,NA,NA,7,20,0,2,9,0,NA,0,0,4.5
"TJGRAHAM","WR","fox","T.J. Graham","NYJ",148,329,NA,NA,NA,NA,NA,0,0,0,2,29,0,NA,0,0,4.3
"DURONCARTER","WR","fox","Duron Carter","IND",148,329,NA,NA,NA,NA,NA,0,0,0,2,26,0,NA,0,0,4.3
"LUCKYWHITEHEAD","WR","fox","Lucky Whitehead","DAL",150,331,NA,NA,NA,NA,NA,0,0,0,2,26,0,NA,0,0,4.2
"JEREMYLANGFORD","RB","fox","Jeremy Langford","CHI",98,332,NA,NA,NA,NA,NA,5,15,0,0,3,0,NA,0,0,3.7
"BRUCEMILLER","RB","fox","Bruce Miller","SF",99,333,NA,NA,NA,NA,NA,4,2,0,3,18,0,NA,0,0,2.9
"CHRISTHOMPSON","RB","fox","Chris Thompson","WAS",100,334,NA,NA,NA,NA,NA,5,16,0,0,2,0,NA,0,0,2.8
"TERRELLEPRYOR","QB","fox","Terrelle Pryor","CLE",35,335,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0.3
"BROCKOSWEILER","QB","fox","Brock Osweiler","DEN",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"TYLERBRAY","QB","fox","Tyler Bray","KC",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"BRYNRENNER","QB","fox","Bryn Renner","BAL",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"CONNORSHAW","QB","fox","Connor Shaw","CLE",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"SEANMANNION","QB","fox","Sean Mannion","STL",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"JOHNNYMANZIEL","QB","fox","Johnny Manziel","CLE",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"DAVIDFALES","QB","fox","David Fales","CHI",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"RYANLINDLEY","QB","fox","Ryan Lindley","NE",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"KEITHWENNING","QB","fox","Keith Wenning","CIN",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"TOMSAVAGE","QB","fox","Tom Savage","HOU",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"GARRETTGILBERT","QB","fox","Garrett Gilbert","DET",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"LOGANTHOMAS","QB","fox","Logan Thomas","ARI",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"AJMCCARRON","QB","fox","AJ McCarron","CIN",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"BRADSORENSEN","QB","fox","Brad Sorensen","SD",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
"SETHLOBATO","QB","fox","Seth Lobato","TB",36,336,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0
