"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"SANFRANCISCO49ERS","DST","cbs","San Francisco 49ers","SF",30,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5893,32,0,17,9,12,3,NA,NA,NA,134
"FRANKGORE","RB","cbs","Frank Gore","IND",21,111,NA,NA,NA,NA,NA,241,970,5.3,20.5,185,1.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.8
"DEVONTAFREEMAN","RB","cbs","Devonta Freeman","ATL",22,112,NA,NA,NA,NA,NA,192,850,4,42.3,320,1.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.8
"JORDANMATTHEWS","WR","cbs","Jordan Matthews","PHI",18,113,NA,NA,NA,NA,NA,NA,NA,NA,57,892,8.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.6
"ANDREJOHNSON","WR","cbs","Andre Johnson","IND",19,114,NA,NA,NA,NA,NA,NA,NA,NA,88,1083,6.1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.2
"CARLOSHYDE","RB","cbs","Carlos Hyde","SF",23,115,NA,NA,NA,NA,NA,211,959,5.8,20.9,152,0.9,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.8
"GARRETTHARTLEY","K","cbs","Garrett Hartley","PIT",10,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,37.9,36,130.6
"CHRISIVORY","RB","cbs","Chris Ivory","NYJ",24,117,NA,NA,NA,NA,NA,202,940,6.1,15.8,110,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.4
"DANBAILEY","K","cbs","Dan Bailey","DAL",11,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,31.2,41.2,130.1
"CLEVELANDBROWNS","DST","cbs","Cleveland Browns","CLE",31,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5206,28,0,19,10,14,2,NA,NA,NA,130
"STEVENHAUSCHKA","K","cbs","Steven Hauschka","SEA",12,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,34.1,36.5,129.9
"TJYELDON","RB","cbs","T.J. Yeldon","JAC",25,121,NA,NA,NA,NA,NA,166,780,6.2,36,274,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.8
"BLAIRWALSH","K","cbs","Blair Walsh","MIN",13,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,37.2,35.8,129.6
"RODDYWHITE","WR","cbs","Roddy White","ATL",20,123,NA,NA,NA,NA,NA,NA,NA,NA,84,997,6.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
"TODDGURLEY","RB","cbs","Todd Gurley","STL",26,124,NA,NA,NA,NA,NA,165,737,7.6,25.6,202,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.8
"JOSEPHRANDLE","RB","cbs","Joseph Randle","DAL",27,125,NA,NA,NA,NA,NA,201,917,4,26.2,202,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.2
"SAMMYWATKINS","WR","cbs","Sammy Watkins","BUF",21,126,NA,NA,NA,NA,NA,NA,NA,NA,63,933,7.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.6
"GREGZUERLEIN","K","cbs","Greg Zuerlein","STL",14,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,33.6,32.6,124.3
"DESEANJACKSON","WR","cbs","DeSean Jackson","WAS",22,128,NA,NA,NA,NA,NA,NA,NA,NA,65,974,6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.2
